ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Execution_Count_Cum,Avg_Latency_Cum,Opcode_Num,Opcode_Num_Norm,Bitwidth_Norm,Execution_Count_Norm,Avg_Latency_Norm,FSS_Score
1066,0x7ffff7fcf140,OTHER,64.0,71.0,57.730000000000125,,0.0,710.0,54.67,0.0,0.0,0.4666666666666667,0.028,0.055127507423214005,0.13744854352247018
1142,0x7ffff7fcf140,OTHER,64.0,157.0,55.829681528662384,,0.0,867.0,54.88,0.0,0.0,0.4666666666666667,0.06240000000000001,0.05331317038415717,0.14559495926270596
1182,0x7ffff7fcf140,OTHER,64.0,84.0,56.46500000000006,,0.0,951.0,55.02,0.0,0.0,0.4666666666666667,0.03320000000000001,0.05391974336207148,0.13844660250718455
1195,0x7ffff7fcf140,OTHER,64.0,31.0,53.43612903225796,,0.0,982.0,54.97,0.0,0.0,0.4666666666666667,0.012000000000000002,0.05102791608880928,0.132423645688869
1208,0x7ffff7fcf140,OTHER,64.0,33.0,55.27757575757564,,0.0,1015.0,54.98,0.0,0.0,0.4666666666666667,0.0128,0.05278604508117858,0.13306317793696132
1329,0x7ffff7fcf140,OTHER,64.0,165.0,55.48060606060608,,0.0,1180.0,55.05,0.0,0.0,0.4666666666666667,0.0656,0.05297988911542603,0.14631163894552318
1336,0x7ffff7fcf140,OTHER,64.0,13.0,51.37923076923023,,0.0,1193.0,55.01,0.0,0.0,0.4666666666666667,0.0048000000000000004,0.04906408383623123,0.1301326876257245
850,0x7ffff7fcf140,OTHER,64.0,209.0,54.05,,0.0,209.0,54.05,0.0,0.0,0.4666666666666667,0.08320000000000001,0.05161401197261764,0.15037016965982108
861,0x7ffff7fcf140,OTHER,64.0,13.0,51.659230769230746,,0.0,222.0,53.91,0.0,0.0,0.4666666666666667,0.0048000000000000004,0.04933141501182056,0.13019952041962182
976,0x7ffff7fcf140,OTHER,64.0,263.0,54.758288973384026,,0.0,485.0,54.37,0.0,0.0,0.4666666666666667,0.1048,0.05229025384372967,0.15593923012759908
989,0x7ffff7fcf140,OTHER,64.0,36.0,55.09361111111119,,0.0,521.0,54.42,0.0,0.0,0.4666666666666667,0.014000000000000002,0.05261040406258526,0.13331926768231298
1085,0x7ffff7fcf143,ARITH,64.0,754.0,55.47,,0.0,754.0,55.47,3.0,0.75,0.4666666666666667,0.3012,0.0529697629345325,0.39270910740029985
