ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount
354,0x7ffff7fdaa81,OTHER,64,572,55.72,N/A,0
355,0x7ffff7fdaa71,LOAD,32,2235,56.20,L1,0
356,0x7ffff7fda9e3,BRANCH,64,852,0.00,N/A,2
357,0x7ffff7fdaa90,LOAD,32,607,60.68,L1,0
358,0x7ffff7fdaa75,LOGIC,32,2255,54.39,N/A,0
359,0x7ffff7fdaa60,ARITH,32,2263,55.26,N/A,0
360,0x7ffff7fdaa71,LOAD,32,2272,56.27,L1,0
361,0x7ffff7fda9dd,ARITH,64,864,56.56,N/A,0
362,0x7ffff7fdaa84,OTHER,32,587,55.11,N/A,0
363,0x7ffff7fdaa6f,BRANCH,64,2290,55.38,N/A,2
364,0x7ffff7fdaa58,ARITH,32,2298,55.09,N/A,0
365,0x7ffff7fdaa6a,LOAD,32,2307,72.35,LLC,0
366,0x7ffff7fdaa00,LOGIC,32,67,52.54,N/A,0
367,0x7ffff7fdaa78,BRANCH,64,2318,19.62,N/A,2
368,0x7ffff7fdaa5c,ARITH,64,2328,55.26,N/A,0
369,0x7ffff7fdaa86,NOP,16,600,54.88,N/A,0
370,0x7ffff7fdaa58,ARITH,32,2345,55.12,N/A,0
371,0x7ffff7fda9d0,ARITH,32,887,83.41,N/A,0
372,0x7ffff7fdaa78,BRANCH,64,2352,19.62,N/A,2
373,0x7ffff7fdaa5c,ARITH,64,2362,55.30,N/A,0
374,0x7ffff7fdaa6a,LOAD,32,2372,72.18,LLC,0
375,0x7ffff7fdaa78,BRANCH,64,2380,19.59,N/A,2
376,0x7ffff7fda9e1,LOGIC,32,899,55.96,N/A,0
377,0x7ffff7fdaa71,LOAD,32,2387,56.29,L1,0
378,0x7ffff7fdaa78,BRANCH,64,2397,19.61,N/A,2
379,0x7ffff7fdaa60,ARITH,32,2406,55.26,N/A,0
380,0x7ffff7fdaa71,LOAD,32,2415,56.33,L1,0
381,0x7ffff7fda9da,OTHER,64,911,55.36,N/A,0
382,0x7ffff7fdaa75,LOGIC,32,2418,54.39,N/A,0
383,0x7ffff7fdaa5c,ARITH,64,2427,55.35,N/A,0
384,0x7ffff7fdaa86,NOP,16,626,54.95,N/A,0
385,0x7ffff7fdaa78,BRANCH,64,2445,19.63,N/A,2
386,0x7ffff7fdaa42,LOAD,32,71,62.20,L2,0
387,0x7ffff7fdaa64,BRANCH,64,2459,54.47,N/A,2
388,0x7ffff7fdaa6f,BRANCH,64,2470,55.27,N/A,2
389,0x7ffff7fdaa7a,OTHER,64,637,55.26,N/A,0
390,0x7ffff7fda9c1,BRANCH,64,72,56.44,N/A,2
391,0x7ffff7fda9e3,BRANCH,64,934,0.00,N/A,2
392,0x7ffff7fdaa6f,BRANCH,64,2493,55.27,N/A,2
393,0x7ffff7fdaa75,LOGIC,32,2503,54.54,N/A,0
394,0x7ffff7fdaa7e,OTHER,64,645,54.47,N/A,0
395,0x7ffff7fdaa90,LOAD,32,677,60.64,L1,0
396,0x7ffff7fda9dd,ARITH,64,946,56.25,N/A,0
